id,date,tweet
947254044317270017,2017-12-30 23:52:17+00:00,"死ぬときに後悔する２５のこと
０６．美味しいものを食べなかったこと
０７．趣味に時間を割かなかったこと
０８．会いたい人に会わなかったこと
０９．自分の葬儀を考えなかったこと
１０．やりたいことをやらなかったこと"
947222799029907456,2017-12-30 21:48:08+00:00,京都で事件が起こると・紅葉が推理し・大村崑が葬儀を取り仕切り・藤田まことが変な所に出張・お宮さんが昔の事件と関連付け・船越が「我慢の限界」とか言って副所長の職務を放棄・メイド刑事がキューティ☆クリーナーを武器に大立ち回り・名取が主婦の勘で裁判にかけ・橋爪が「ちがーう」とか言う。
947207643839447040,2017-12-30 20:47:55+00:00,京都で事件が起こると・紅葉が推理し・大村崑が葬儀を取り仕切り・藤田まことが変な所に出張・お宮さんが昔の事件と関連付け・船越が「我慢の限界」とか言って副所長の職務を放棄・メイド刑事がキューティ☆クリーナーを武器に大立ち回り・名取が主婦の勘で裁判にかけ・橋爪が「ちがーう」とか言う。
947194087341305856,2017-12-30 19:54:03+00:00,「パキスタン人の彼氏が住職をクビになりました」「アナーキー過ぎる葬儀をしてしまって…木魚のＢＧＭとして…倖田來未版キューティーハニーのカラオケをかけて読経を敢行してしまって「下のURLはその動画です」「彼は国に帰ってしまい、私は欲求不満です」……やばいこのスパム。リンク踏みそう
947184002598703104,2017-12-30 19:13:58+00:00,"阿闍梨（惟光の兄）
病の母（大弐の乳母）の世話をしていた一人。
夕顔の葬儀をつとめた。"
947183417287774211,2017-12-30 19:11:39+00:00,お客様の必要な部分だけで格安で葬儀をさせて頂きます！ ##sougi
947165397513469952,2017-12-30 18:00:02+00:00,皇帝の死は悲しみを持って受け止めるべき事実だ。しかし、この葬儀を持つために帝国全国民がひとつになれたことは喜ばしいことではないか？
947144122069958656,2017-12-30 16:35:30+00:00,死者を愚弄してはいけない葬儀を執り行おう!!
947133545956360192,2017-12-30 15:53:28+00:00,２階は衣料品売り場。母の好きな場所だけど、ついて回るのは嫌。若者向けの服もあるけど、垢抜けした感じに欠ける。黒とか白とか、葬儀を連想してしまい、まるで縁起が悪い。個人的には、スポーツショップにあるような、奇抜な色を使った服が好き。もう若くはないけど。
947107460996665344,2017-12-30 14:09:49+00:00,旦那が入院して１人きりの寂しさを紛らすためにツイッターを始めた。そんな私を始めてフォローしてくれた人。とても優しかった。長い夫婦生活でもなかった優しい会話だった。やがて旦那が無くなった。葬儀を済ませツイッターを見るとDMが一通。「ありがとう。元気でな。お前」
947107046544908293,2017-12-30 14:08:10+00:00,あと、今年はアガサ・クリスティの作品を20冊くらい再読した。「葬儀を終えて」「鏡は横にひび割れて」、素晴らしかった
947093344466767872,2017-12-30 13:13:44+00:00,なんてこった！変身したまま葬儀を行ったと思ったら2代目の戦士が現れやがった
947085035466760192,2017-12-30 12:40:43+00:00,12/26の20時過ぎに祖母が亡くなって、昨日葬儀を行いました。朝の早い時間からの葬儀だったのですが、たくさんの方が出席して下さって祖母も喜んでくれたことと思います。まだ声が耳に残っていて、亡くなった実感が未だにしません…
947072293833814017,2017-12-30 11:50:05+00:00,無事伯父の葬儀を終えました
947057364934344705,2017-12-30 10:50:45+00:00,母が12月27日に天国へ旅立ちました。本日、葬儀を終えて家に戻ってきました。少し小さくなり形も変わりましたが、帰りたい！と切望していた家に帰ることができました。母と少しでも関わってくださった皆さま、本当にお世話になりました。楽しい時間をありがとうございました。感謝申し上げます。
947037706118316032,2017-12-30 09:32:38+00:00,叔父上の葬儀を営んでおる　騒ぎ立てるでない
947023887514050560,2017-12-30 08:37:44+00:00,百錬自得始まったくらいからお焼香みたいな匂いがしてヤバかった  木手くんの葬儀をするな
947018362428653568,2017-12-30 08:15:47+00:00,"過去5回ぐらい松山で葬儀を勤めさせてもらったけど、松山の本願寺派のお寺さんはかなり葬儀社さんに作法を伝えてるんやなぁと感じる。
 
どこに行ってもお飾りの方法などが原理原則にのっとったやり方が徹底されてて素晴らしい。"
947005942486335488,2017-12-30 07:26:25+00:00,『ポアロのクリスマス』と『無実はさいなむ』と『ポケットにライ麦を』と『パディントン発4時50分』と『葬儀を終えて』と『ねじれた家』は家族が多すぎると思う。 #クリスティー部
